-2.12,1.95
2.45,2.33
1.88,2.12
2.67,1.76
1.95,2.48
2.33,2.71
1.76,1.89
2.54,2.41
2.12,1.63
1.89,2.56
2.78,2.12
1.67,1.95
2.31,2.58
1.92,1.74
2.44,2.13
1.85,2.62
2.63,2.22
1.74,1.96
2.51,2.47
1.93,2.18
-1.55,-2.12
-2.48,-1.76
-1.92,-2.44
-2.36,-1.68
-2.77,-2.21
-1.34,-1.85
-2.12,-2.67
-1.76,-1.44
-2.53,-2.36
-1.89,-1.55
-2.22,-2.74
-1.45,-1.92
-2.68,-2.13
-1.73,-1.67
-2.34,-2.52
-1.66,-1.84
-2.41,-2.29
-1.92,-1.63
5.12,-3.12
4.84,-2.78
5.44,-3.56
4.67,-2.33
5.31,-3.45
4.92,-2.76
5.63,-3.12
4.55,-2.95
5.27,-3.67
4.76,-3.12
5.48,-2.51
4.69,-3.33
5.14,-2.94
4.87,-2.52
5.35,-3.27
4.91,-2.73
5.62,-3.44
4.73,-2.83
5.28,-3.09
4.88,-2.61
2.05,1.74
2.52,2.38
1.79,2.16
2.34,2.59
1.92,1.85
2.61,2.41
1.87,2.33
2.48,2.15
1.95,2.72
2.39,2.57
-1.42,-2.12
-2.55,-1.87
-1.88,-2.51
-2.41,-1.92
-2.62,-2.33
-1.57,-1.74
-2.18,-2.62
-1.92,-1.53
-2.47,-2.14
